func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0181988	109.898
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0049336	1368.17
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0100434	1593.08
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0172568	1810.88
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0259671	2079.55
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0412729	2077.63
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0610764	2095.74
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0884747	2059.91
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121414	2059.07
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.027819	71.8933
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0882164	76.5164
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208698	76.6658
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.406214	76.9298
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.682801	79.086
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.09249	78.4905
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62524	78.7574
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31975	78.5644
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18787	78.4222
