func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00303579
transpose(Dense)	Dense	float	2000	2000	0.0157178
transpose(Dense)	Dense	float	3000	3000	0.0483762
transpose(Dense)	Dense	float	4000	4000	0.0988601
transpose(Dense)	Dense	float	5000	5000	0.154817
transpose(Dense)	Dense	double	1000	1000	0.00357137
transpose(Dense)	Dense	double	2000	2000	0.0288982
transpose(Dense)	Dense	double	3000	3000	0.0745749
transpose(Dense)	Dense	double	4000	4000	0.153856
transpose(Dense)	Dense	double	5000	5000	0.229812
