func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00172138
transpose(Dense)	Dense	float	2000	2000	0.00681543
transpose(Dense)	Dense	float	3000	3000	0.0180567
transpose(Dense)	Dense	float	4000	4000	0.0265261
transpose(Dense)	Dense	float	5000	5000	0.0438465
transpose(Dense)	Dense	float	6000	6000	0.0572767
transpose(Dense)	Dense	float	7000	7000	0.0858758
transpose(Dense)	Dense	float	8000	8000	0.160295
transpose(Dense)	Dense	float	9000	9000	0.147164
transpose(Dense)	Dense	float	10000	10000	0.183476
transpose(Dense)	Dense	double	1000	1000	0.00300039
transpose(Dense)	Dense	double	2000	2000	0.0126045
transpose(Dense)	Dense	double	3000	3000	0.0260909
transpose(Dense)	Dense	double	4000	4000	0.0564112
transpose(Dense)	Dense	double	5000	5000	0.0720199
transpose(Dense)	Dense	double	6000	6000	0.123561
transpose(Dense)	Dense	double	7000	7000	0.143405
transpose(Dense)	Dense	double	8000	8000	0.264549
transpose(Dense)	Dense	double	9000	9000	0.258292
transpose(Dense)	Dense	double	10000	10000	0.356977
