func	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	1000	1000	0.000668236
convert(COO,CRS)	CRS	float	2000	2000	0.00136523
convert(COO,CRS)	CRS	float	4000	4000	0.00248821
convert(COO,CRS)	CRS	float	8000	8000	0.00521382
convert(COO,CRS)	CRS	float	16000	16000	0.0102343
convert(COO,CRS)	CRS	float	32000	32000	0.0247815
convert(COO,CRS)	CRS	float	64000	64000	0.0477285
convert(COO,CRS)	CRS	double	1000	1000	0.000369013
convert(COO,CRS)	CRS	double	2000	2000	0.000712253
convert(COO,CRS)	CRS	double	4000	4000	0.00168929
convert(COO,CRS)	CRS	double	8000	8000	0.00426276
convert(COO,CRS)	CRS	double	16000	16000	0.0112452
convert(COO,CRS)	CRS	double	32000	32000	0.0309346
convert(COO,CRS)	CRS	double	64000	64000	0.0680398
