func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_atan(CRS)	CRS	float	10000	10000	0.00107909	0.750636
m_atan(CRS)	CRS	float	20000	20000	0.00170593	0.949631
m_atan(CRS)	CRS	float	30000	30000	0.0025503	0.952828
m_atan(CRS)	CRS	float	40000	40000	0.00334975	0.967236
m_atan(CRS)	CRS	float	50000	50000	0.00416633	0.972078
m_atan(CRS)	CRS	float	60000	60000	0.00496171	0.979501
m_atan(CRS)	CRS	float	70000	70000	0.00580704	0.976401
m_atan(CRS)	CRS	float	80000	80000	0.00668359	0.969538
m_atan(CRS)	CRS	float	90000	90000	0.00751616	0.96991
m_atan(CRS)	CRS	float	100000	100000	0.00825678	0.981012
m_atan(CRS)	CRS	double	10000	10000	0.00202629	0.399746
m_atan(CRS)	CRS	double	20000	20000	0.00401095	0.403895
m_atan(CRS)	CRS	double	30000	30000	0.00542164	0.448204
m_atan(CRS)	CRS	double	40000	40000	0.00739243	0.438286
m_atan(CRS)	CRS	double	50000	50000	0.00997526	0.406004
m_atan(CRS)	CRS	double	60000	60000	0.0108956	0.446052
m_atan(CRS)	CRS	double	70000	70000	0.0125162	0.453013
m_atan(CRS)	CRS	double	80000	80000	0.0145328	0.445888
m_atan(CRS)	CRS	double	90000	90000	0.0180823	0.403157
m_atan(CRS)	CRS	double	100000	100000	0.0180158	0.449605
