func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00186674	1.07139	
matvec(Dense)	float	2000	2000	6.46489e-05	123.745	
matvec(Dense)	float	3000	3000	0.000333153	54.0293	
matvec(Dense)	float	4000	4000	0.00503138	6.36008	
matvec(Dense)	float	5000	5000	0.00960941	5.20323	
matvec(Dense)	float	6000	6000	0.014789	4.86848	
matvec(Dense)	float	7000	7000	0.0203881	4.80673	
matvec(Dense)	float	8000	8000	0.0263976	4.84892	
matvec(Dense)	float	9000	9000	0.0164559	9.84451	
matvec(Dense)	float	10000	10000	0.0430134	4.64971	
matvec(Dense)	double	1000	1000	0.000150063	13.3277	
matvec(Dense)	double	2000	2000	0.000134635	59.4198	
matvec(Dense)	double	3000	3000	0.00593733	3.03166	
matvec(Dense)	double	4000	4000	0.0127468	2.51043	
matvec(Dense)	double	5000	5000	0.0195324	2.55985	
matvec(Dense)	double	6000	6000	0.0296473	2.42855	
matvec(Dense)	double	7000	7000	0.0407444	2.40524	
matvec(Dense)	double	8000	8000	0.0532818	2.40232	
matvec(Dense)	double	9000	9000	0.0528942	3.06272	
matvec(Dense)	double	10000	10000	0.0691884	2.89066	
