func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	7.4996e-06	0.266681	1.60009	
axpyz	float	10000	7.8196e-06	2.55768	15.3461	
axpyz	float	100000	9.4827e-06	21.091	126.546	
axpyz	float	1000000	4.20493e-05	47.5632	285.379	
axpyz	float	10000000	0.00316556	6.31799	37.9079	
axpyz	float	100000000	0.0346163	5.77763	34.6658	
axpyz	double	1000	7.3026e-06	0.273875	3.2865	
axpyz	double	10000	7.3926e-06	2.70541	32.4649	
axpyz	double	100000	1.11736e-05	17.8993	214.792	
axpyz	double	1000000	8.25372e-05	24.2315	290.778	
axpyz	double	10000000	0.0262825	0.760962	9.13154	
axpyz	double	100000000	0.0722367	2.76868	33.2241	
