func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	9.2718e-06	0.107854	0.862831	
v_minus	float	10000	1.86396e-05	0.536492	4.29194	
v_minus	float	100000	0.000139515	0.716767	5.73414	
v_minus	float	1000000	0.00123041	0.812739	6.50191	
v_minus	float	10000000	0.0300719	0.332536	2.66029	
v_minus	float	100000000	0.269394	0.371203	2.96963	
v_minus	double	1000	1.02332e-05	0.0977211	1.56354	
v_minus	double	10000	2.94102e-05	0.340018	5.44029	
v_minus	double	100000	0.000201977	0.495107	7.92171	
v_minus	double	1000000	0.0023074	0.433388	6.9342	
v_minus	double	10000000	0.0532884	0.187658	3.00253	
v_minus	double	100000000	0.617377	0.161976	2.59161	
