func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	3.157e-07	6.33513	38.0108	
axpy	float	10000	3.391e-06	5.89797	35.3878	
axpy	float	100000	1.07911e-05	18.5338	111.203	
axpy	float	1000000	3.37933e-05	59.1833	355.1	
axpy	float	10000000	0.00618352	3.2344	19.4064	
axpy	float	100000000	0.0375011	5.33318	31.9991	
axpy	double	1000	7.039e-07	2.84131	34.0958	
axpy	double	10000	8.0386e-06	2.488	29.8559	
axpy	double	100000	1.19082e-05	16.7951	201.542	
axpy	double	1000000	6.02469e-05	33.1967	398.361	
axpy	double	10000000	0.0144128	1.38766	16.6519	
axpy	double	100000000	0.0887881	2.25256	27.0307	
