func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000511019	0.00391375	0.0078275	
nrm2	float	10000	0.000522602	0.03827	0.07654	
nrm2	float	100000	0.000525409	0.380656	0.761312	
nrm2	float	1000000	0.00055486	3.60452	7.20903	
nrm2	float	10000000	0.000958987	20.8553	41.7107	
nrm2	float	100000000	0.00477495	41.8853	83.7705	
nrm2	double	1000	0.000502228	0.00398226	0.015929	
nrm2	double	10000	0.000531511	0.0376285	0.150514	
nrm2	double	100000	0.000529641	0.377614	1.51046	
nrm2	double	1000000	0.00060458	3.30808	13.2323	
nrm2	double	10000000	0.00133735	14.9549	59.8197	
nrm2	double	100000000	0.0085806	23.3084	93.2336	
