func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	3.347e-07	5.9755	11.951	
nrm2	float	10000	2.3946e-06	8.35213	16.7043	
nrm2	float	100000	8.836e-06	22.6347	45.2694	
nrm2	float	1000000	2.61897e-05	76.3659	152.732	
nrm2	float	10000000	0.000293326	68.1835	136.367	
nrm2	float	100000000	0.00845255	23.6615	47.323	
nrm2	double	1000	4.68e-07	4.2735	17.094	
nrm2	double	10000	7.2544e-06	2.75695	11.0278	
nrm2	double	100000	1.08759e-05	18.3893	73.5571	
nrm2	double	1000000	3.31825e-05	60.2727	241.091	
nrm2	double	10000000	0.00148596	13.4593	53.8371	
nrm2	double	100000000	0.0316878	6.31158	25.2463	
