func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0161085	0.124158	
matvec(Dense)	float	2000	2000	0.000679681	11.7702	
matvec(Dense)	float	3000	3000	0.000897642	20.0525	
matvec(Dense)	float	4000	4000	0.00120697	26.5127	
matvec(Dense)	float	5000	5000	0.00153587	32.5548	
matvec(Dense)	float	6000	6000	0.00196311	36.6765	
matvec(Dense)	float	7000	7000	0.00248065	39.5057	
matvec(Dense)	float	8000	8000	0.00318522	40.1856	
matvec(Dense)	float	9000	9000	0.0037818	42.8367	
matvec(Dense)	float	10000	10000	0.00455195	43.9372	
matvec(Dense)	double	1000	1000	0.000567668	3.52319	
matvec(Dense)	double	2000	2000	0.000835714	9.57265	
matvec(Dense)	double	3000	3000	0.00120834	14.8965	
matvec(Dense)	double	4000	4000	0.0018261	17.5237	
matvec(Dense)	double	5000	5000	0.00248629	20.1103	
matvec(Dense)	double	6000	6000	0.00345127	20.8619	
matvec(Dense)	double	7000	7000	0.0044266	22.1389	
matvec(Dense)	double	8000	8000	0.00568968	22.4969	
matvec(Dense)	double	9000	9000	0.00709057	22.8473	
