func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	5.20499e-05	19.2123	
mscal(Dense)	float	2000	2000	9.87379e-05	40.5113	
mscal(Dense)	float	3000	3000	0.000250339	35.9512	
mscal(Dense)	float	4000	4000	0.00592741	2.69932	
mscal(Dense)	float	5000	5000	0.0121104	2.06434	
mscal(Dense)	float	6000	6000	0.0174671	2.06101	
mscal(Dense)	float	7000	7000	0.0247924	1.97641	
mscal(Dense)	float	8000	8000	0.0317936	2.01298	
mscal(Dense)	float	9000	9000	0.0410911	1.97123	
mscal(Dense)	float	10000	10000	0.0492559	2.03021	
mscal(Dense)	double	1000	1000	5.02095e-05	19.9165	
mscal(Dense)	double	2000	2000	0.00019084	20.96	
mscal(Dense)	double	3000	3000	0.00743449	1.21057	
mscal(Dense)	double	4000	4000	0.015809	1.01208	
mscal(Dense)	double	5000	5000	0.0228986	1.09177	
mscal(Dense)	double	6000	6000	0.0176339	2.04152	
mscal(Dense)	double	7000	7000	0.0505875	0.968619	
mscal(Dense)	double	8000	8000	0.0531692	1.20371	
mscal(Dense)	double	9000	9000	0.0791696	1.02312	
mscal(Dense)	double	10000	10000	0.0918447	1.08879	
