func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	0.00228886	0.436899	
mscal(Dense)	float	2000	2000	0.0060391	0.66235	
mscal(Dense)	float	3000	3000	0.0120843	0.744771	
mscal(Dense)	float	4000	4000	0.0190636	0.839297	
mscal(Dense)	float	5000	5000	0.0268742	0.930259	
mscal(Dense)	float	6000	6000	0.0385593	0.933626	
mscal(Dense)	float	7000	7000	0.051614	0.949355	
mscal(Dense)	float	8000	8000	0.0673758	0.949896	
mscal(Dense)	float	9000	9000	0.0859429	0.942486	
mscal(Dense)	float	10000	10000	0.104867	0.953589	
mscal(Dense)	double	1000	1000	0.00214538	0.466118	
mscal(Dense)	double	2000	2000	0.00616807	0.648501	
mscal(Dense)	double	3000	3000	0.0129145	0.696889	
mscal(Dense)	double	4000	4000	0.0222531	0.719001	
mscal(Dense)	double	5000	5000	0.0344455	0.725784	
mscal(Dense)	double	6000	6000	0.049344	0.729572	
mscal(Dense)	double	7000	7000	0.066497	0.736875	
mscal(Dense)	double	8000	8000	0.0865787	0.739212	
mscal(Dense)	double	9000	9000	0.11049	0.733099	
