func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	float	1000	2.4594e-05	0.0813206	0.325283	
sv_sub	float	10000	2.58284e-05	0.774341	3.09737	
sv_sub	float	100000	0.000118584	1.68657	6.74629	
sv_sub	float	1000000	0.000834221	2.39744	9.58978	
sv_sub	float	10000000	0.0235024	0.850978	3.40391	
sv_sub	float	100000000	0.221143	0.904393	3.61757	
sv_sub	double	1000	1.82169e-05	0.109788	0.878305	
sv_sub	double	10000	3.57733e-05	0.559076	4.47261	
sv_sub	double	100000	0.00013969	1.43174	11.4539	
sv_sub	double	1000000	0.00152749	1.30933	10.4747	
sv_sub	double	10000000	0.0492611	0.406	3.248	
sv_sub	double	100000000	0.396101	0.504922	4.03938	
