func	prec	M	N	time[sec]	perf[GFLOPS] 
matadd(Dense,Dense,Dense)	float	1000	1000	5.54568e-05	18.0321	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00189658	2.10906	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00851837	1.05654	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0161639	0.989858	
matadd(Dense,Dense,Dense)	float	5000	5000	0.025908	0.964952	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0382756	0.940548	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0520815	0.940834	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0530897	1.20551	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0815808	0.99288	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0773653	1.29257	
matadd(Dense,Dense,Dense)	double	1000	1000	0.00010128	9.87365	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00767858	0.52093	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0192453	0.467646	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0249178	0.642112	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0538721	0.464062	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0731599	0.492073	
matadd(Dense,Dense,Dense)	double	7000	7000	0.0812658	0.602959	
matadd(Dense,Dense,Dense)	double	8000	8000	0.0896612	0.713798	
matadd(Dense,Dense,Dense)	double	9000	9000	0.161968	0.5001	
matadd(Dense,Dense,Dense)	double	10000	10000	0.198088	0.504826	
