func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(CRS)	float	1000	1000	0.00113535	0.0713434	
mscal(CRS)	float	10000	10000	0.00302422	0.267838	
mscal(CRS)	float	100000	100000	0.020997	0.385769	
mscal(CRS)	float	1000000	1000000	0.170353	0.475485	
mscal(CRS)	double	1000	1000	0.000989822	0.0818329	
mscal(CRS)	double	10000	10000	0.00298109	0.271713	
mscal(CRS)	double	100000	100000	0.0227172	0.356558	
mscal(CRS)	double	1000000	1000000	0.22022	0.367814	
