func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00829691	241.054
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00466488	1446.98
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00896505	1784.71
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0156051	2002.55
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0259933	2077.46
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0411275	2084.98
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0607818	2105.89
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0882771	2064.52
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122844	2035.1
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0278578	71.7932
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0881477	76.576
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208309	76.8088
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.405361	77.0918
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.680424	79.3623
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08567	78.9837
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61952	79.0356
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31148	78.8457
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.17489	78.7429
