func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00224359
convert(COO,Dense)	Dense	float	2000	2000	0.00555332
convert(COO,Dense)	Dense	float	3000	3000	0.0169564
convert(COO,Dense)	Dense	float	4000	4000	0.0281087
convert(COO,Dense)	Dense	float	5000	5000	0.0447393
convert(COO,Dense)	Dense	float	6000	6000	0.061754
convert(COO,Dense)	Dense	float	7000	7000	0.0814664
convert(COO,Dense)	Dense	float	8000	8000	0.105787
convert(COO,Dense)	Dense	float	9000	9000	0.132895
convert(COO,Dense)	Dense	float	10000	10000	0.162914
convert(COO,Dense)	Dense	double	1000	1000	0.00463149
convert(COO,Dense)	Dense	double	2000	2000	0.00901622
convert(COO,Dense)	Dense	double	3000	3000	0.0296792
convert(COO,Dense)	Dense	double	4000	4000	0.0524472
convert(COO,Dense)	Dense	double	5000	5000	0.0798976
convert(COO,Dense)	Dense	double	6000	6000	0.113321
convert(COO,Dense)	Dense	double	7000	7000	0.15322
convert(COO,Dense)	Dense	double	8000	8000	0.198476
convert(COO,Dense)	Dense	double	9000	9000	0.250237
convert(COO,Dense)	Dense	double	10000	10000	0.305686
