func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.01237
convert(COO,CRS)	CRS	float	20000	20000	0.0259782
convert(COO,CRS)	CRS	float	30000	30000	0.0493792
convert(COO,CRS)	CRS	float	40000	40000	0.0653032
convert(COO,CRS)	CRS	float	50000	50000	0.081826
convert(COO,CRS)	CRS	float	60000	60000	0.0989011
convert(COO,CRS)	CRS	float	70000	70000	0.110877
convert(COO,CRS)	CRS	float	80000	80000	0.120284
convert(COO,CRS)	CRS	float	90000	90000	0.114774
convert(COO,CRS)	CRS	float	100000	100000	0.125515
convert(COO,CRS)	CRS	double	10000	10000	0.00684775
convert(COO,CRS)	CRS	double	20000	20000	0.0182247
convert(COO,CRS)	CRS	double	30000	30000	0.0590092
convert(COO,CRS)	CRS	double	40000	40000	0.0773515
convert(COO,CRS)	CRS	double	50000	50000	0.0973445
convert(COO,CRS)	CRS	double	60000	60000	0.108158
convert(COO,CRS)	CRS	double	70000	70000	0.125775
convert(COO,CRS)	CRS	double	80000	80000	0.143674
convert(COO,CRS)	CRS	double	90000	90000	0.163517
convert(COO,CRS)	CRS	double	100000	100000	0.179575
