func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.0127409
transpose(Dense)	Dense	float	2000	2000	0.0459791
transpose(Dense)	Dense	float	3000	3000	0.126702
transpose(Dense)	Dense	float	4000	4000	0.247381
transpose(Dense)	Dense	float	5000	5000	0.415717
transpose(Dense)	Dense	float	6000	6000	0.625517
transpose(Dense)	Dense	float	7000	7000	0.889096
transpose(Dense)	Dense	float	8000	8000	1.19675
transpose(Dense)	Dense	float	9000	9000	1.51844
transpose(Dense)	Dense	float	10000	10000	1.88355
transpose(Dense)	Dense	double	1000	1000	0.0105413
transpose(Dense)	Dense	double	2000	2000	0.0587746
transpose(Dense)	Dense	double	3000	3000	0.185743
transpose(Dense)	Dense	double	4000	4000	0.342897
transpose(Dense)	Dense	double	5000	5000	0.563543
transpose(Dense)	Dense	double	6000	6000	0.820508
transpose(Dense)	Dense	double	7000	7000	1.12191
transpose(Dense)	Dense	double	8000	8000	1.4979
transpose(Dense)	Dense	double	9000	9000	1.96182
transpose(Dense)	Dense	double	10000	10000	2.58749
