func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0363353	4.45847
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0517377	7.04516
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102749	6.30661
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134396	7.53372
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169581	8.59767
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0361749	4.47825
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0590825	6.16934
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0842043	7.69557
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113443	8.9252
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144461	10.0927
