func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00255771
convert(COO,Dense)	Dense	float	2000	2000	0.00604687
convert(COO,Dense)	Dense	float	3000	3000	0.0338771
convert(COO,Dense)	Dense	float	4000	4000	0.0638362
convert(COO,Dense)	Dense	float	5000	5000	0.0981918
convert(COO,Dense)	Dense	float	6000	6000	0.140149
convert(COO,Dense)	Dense	float	7000	7000	0.184391
convert(COO,Dense)	Dense	float	8000	8000	0.24006
convert(COO,Dense)	Dense	float	9000	9000	0.299395
convert(COO,Dense)	Dense	float	10000	10000	0.36323
convert(COO,Dense)	Dense	double	1000	1000	0.00336457
convert(COO,Dense)	Dense	double	2000	2000	0.011222
convert(COO,Dense)	Dense	double	3000	3000	0.0680018
convert(COO,Dense)	Dense	double	4000	4000	0.119083
convert(COO,Dense)	Dense	double	5000	5000	0.184053
convert(COO,Dense)	Dense	double	6000	6000	0.262968
convert(COO,Dense)	Dense	double	7000	7000	0.352549
convert(COO,Dense)	Dense	double	8000	8000	0.455506
convert(COO,Dense)	Dense	double	9000	9000	0.568778
convert(COO,Dense)	Dense	double	10000	10000	0.641488
