func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.0126271
transpose(Dense)	Dense	float	2000	2000	0.0469467
transpose(Dense)	Dense	float	3000	3000	0.127376
transpose(Dense)	Dense	float	4000	4000	0.244702
transpose(Dense)	Dense	float	5000	5000	0.416686
transpose(Dense)	Dense	float	6000	6000	0.628002
transpose(Dense)	Dense	float	7000	7000	0.900064
transpose(Dense)	Dense	float	8000	8000	1.19919
transpose(Dense)	Dense	float	9000	9000	1.52479
transpose(Dense)	Dense	float	10000	10000	1.89375
transpose(Dense)	Dense	double	1000	1000	0.0105538
transpose(Dense)	Dense	double	2000	2000	0.058614
transpose(Dense)	Dense	double	3000	3000	0.185343
transpose(Dense)	Dense	double	4000	4000	0.34572
transpose(Dense)	Dense	double	5000	5000	0.567013
transpose(Dense)	Dense	double	6000	6000	0.822206
transpose(Dense)	Dense	double	7000	7000	1.12293
transpose(Dense)	Dense	double	8000	8000	1.50595
transpose(Dense)	Dense	double	9000	9000	1.98458
transpose(Dense)	Dense	double	10000	10000	2.54607
