func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.0154164
convert(COO,CRS)	CRS	float	20000	20000	0.0262752
convert(COO,CRS)	CRS	float	30000	30000	0.0508004
convert(COO,CRS)	CRS	float	40000	40000	0.0666061
convert(COO,CRS)	CRS	float	50000	50000	0.0819373
convert(COO,CRS)	CRS	float	60000	60000	0.10034
convert(COO,CRS)	CRS	float	70000	70000	0.110559
convert(COO,CRS)	CRS	float	80000	80000	0.123896
convert(COO,CRS)	CRS	float	90000	90000	0.116205
convert(COO,CRS)	CRS	float	100000	100000	0.126918
convert(COO,CRS)	CRS	double	10000	10000	0.00671633
convert(COO,CRS)	CRS	double	20000	20000	0.0212813
convert(COO,CRS)	CRS	double	30000	30000	0.0582835
convert(COO,CRS)	CRS	double	40000	40000	0.0773182
convert(COO,CRS)	CRS	double	50000	50000	0.0997147
convert(COO,CRS)	CRS	double	60000	60000	0.141463
convert(COO,CRS)	CRS	double	70000	70000	0.12626
convert(COO,CRS)	CRS	double	80000	80000	0.146116
convert(COO,CRS)	CRS	double	90000	90000	0.162629
convert(COO,CRS)	CRS	double	100000	100000	0.180388
