func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00112906
convert(COO,Dense)	Dense	float	2000	2000	0.00376776
convert(COO,Dense)	Dense	float	3000	3000	0.0103739
convert(COO,Dense)	Dense	float	4000	4000	0.0164353
convert(COO,Dense)	Dense	float	5000	5000	0.024388
convert(COO,Dense)	Dense	float	6000	6000	0.0339645
convert(COO,Dense)	Dense	float	7000	7000	0.0452973
convert(COO,Dense)	Dense	float	8000	8000	0.0582872
convert(COO,Dense)	Dense	float	9000	9000	0.0725753
convert(COO,Dense)	Dense	float	10000	10000	0.112092
convert(COO,Dense)	Dense	double	1000	1000	0.00163741
convert(COO,Dense)	Dense	double	2000	2000	0.00693084
convert(COO,Dense)	Dense	double	3000	3000	0.0178385
convert(COO,Dense)	Dense	double	4000	4000	0.0292828
convert(COO,Dense)	Dense	double	5000	5000	0.044373
convert(COO,Dense)	Dense	double	6000	6000	0.0629256
convert(COO,Dense)	Dense	double	7000	7000	0.108219
convert(COO,Dense)	Dense	double	8000	8000	0.168631
convert(COO,Dense)	Dense	double	9000	9000	0.2358
convert(COO,Dense)	Dense	double	10000	10000	0.277415
