func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00371434	43.6148
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0230704	15.7995
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0687354	9.42746
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.121362	8.34284
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.177381	8.2196
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0114387	14.1624
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0427518	8.52596
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0887642	7.30024
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.130034	7.78643
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.192824	7.56129
