func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00348471
convert(COO,CRS)	CRS	float	20000	20000	0.00773533
convert(COO,CRS)	CRS	float	30000	30000	0.0104368
convert(COO,CRS)	CRS	float	40000	40000	0.0134196
convert(COO,CRS)	CRS	float	50000	50000	0.0160371
convert(COO,CRS)	CRS	float	60000	60000	0.0191274
convert(COO,CRS)	CRS	float	70000	70000	0.0222925
convert(COO,CRS)	CRS	float	80000	80000	0.0249282
convert(COO,CRS)	CRS	float	90000	90000	0.0239855
convert(COO,CRS)	CRS	float	100000	100000	0.0261685
convert(COO,CRS)	CRS	double	10000	10000	0.00327285
convert(COO,CRS)	CRS	double	20000	20000	0.00654907
convert(COO,CRS)	CRS	double	30000	30000	0.0126097
convert(COO,CRS)	CRS	double	40000	40000	0.0160764
convert(COO,CRS)	CRS	double	50000	50000	0.0178287
convert(COO,CRS)	CRS	double	60000	60000	0.0225176
convert(COO,CRS)	CRS	double	70000	70000	0.0261774
convert(COO,CRS)	CRS	double	80000	80000	0.0309906
convert(COO,CRS)	CRS	double	90000	90000	0.0492926
convert(COO,CRS)	CRS	double	100000	100000	0.0685905
