func	prec	M	N	time[sec]
convert(COO,CRS)	float	1000	1000	0.000668886
convert(COO,CRS)	float	2000	2000	0.00134923
convert(COO,CRS)	float	4000	4000	0.00216508
convert(COO,CRS)	float	8000	8000	0.0050778
convert(COO,CRS)	float	16000	16000	0.0100256
convert(COO,CRS)	float	32000	32000	0.0245351
convert(COO,CRS)	float	64000	64000	0.0482342
convert(COO,CRS)	double	1000	1000	0.000365736
convert(COO,CRS)	double	2000	2000	0.000708977
convert(COO,CRS)	double	4000	4000	0.00159511
convert(COO,CRS)	double	8000	8000	0.00423205
convert(COO,CRS)	double	16000	16000	0.0111823
convert(COO,CRS)	double	32000	32000	0.0307631
convert(COO,CRS)	double	64000	64000	0.067428
