func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.000436076	0.371495
matvec(CRS)	float	2000	2000	4.34072e-05	7.4642
matvec(CRS)	float	4000	4000	7.68388e-05	8.43324
matvec(CRS)	float	8000	8000	0.00015636	8.28854
matvec(CRS)	float	16000	16000	0.000329699	7.86171
matvec(CRS)	float	32000	32000	0.00122319	4.23809
matvec(CRS)	float	64000	64000	0.00788252	1.31532
matvec(CRS)	double	1000	1000	3.00308e-05	5.39446
matvec(CRS)	double	2000	2000	4.75053e-05	6.82029
matvec(CRS)	double	4000	4000	9.10167e-05	7.11957
matvec(CRS)	double	8000	8000	0.000191252	6.77638
matvec(CRS)	double	16000	16000	0.000403921	6.4171
matvec(CRS)	double	32000	32000	0.00490283	1.05735
matvec(CRS)	double	64000	64000	0.0123021	0.842786
