func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.0022841	0.437808	3.50247
mscal(Dense)	float	2000	2000	0.006027	0.66368	5.30944
mscal(Dense)	float	3000	3000	0.0120513	0.746806	5.97445
mscal(Dense)	float	4000	4000	0.0187839	0.851792	6.81434
mscal(Dense)	float	5000	5000	0.0267975	0.932921	7.46337
mscal(Dense)	double	1000	1000	0.00213551	0.468272	7.49235
mscal(Dense)	double	2000	2000	0.00611359	0.65428	10.4685
mscal(Dense)	double	3000	3000	0.0128375	0.701073	11.2172
mscal(Dense)	double	4000	4000	0.0221153	0.72348	11.5757
mscal(Dense)	double	5000	5000	0.0342774	0.729343	11.6695
