func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00544479	0.367324
matvec(Dense)	float	2000	2000	7.28344e-05	109.838
matvec(Dense)	float	3000	3000	0.000185081	97.255
matvec(Dense)	float	4000	4000	0.00495549	6.45748
matvec(Dense)	float	5000	5000	0.00928593	5.38449
matvec(Dense)	double	1000	1000	0.000148647	13.4547
matvec(Dense)	double	2000	2000	0.000148911	53.7234
matvec(Dense)	double	3000	3000	0.00588472	3.05877
matvec(Dense)	double	4000	4000	0.0126566	2.52833
matvec(Dense)	double	5000	5000	0.0204594	2.44386
