func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.0247355	0.0065493
matvec(CRS)	float	2000	2000	4.29029e-05	7.55194
matvec(CRS)	float	4000	4000	7.405e-05	8.75084
matvec(CRS)	float	8000	8000	0.00013501	9.5993
matvec(CRS)	float	16000	16000	0.000256764	10.0949
matvec(CRS)	float	32000	32000	0.00050711	10.2226
matvec(CRS)	float	64000	64000	0.00100839	10.2818
matvec(CRS)	double	1000	1000	3.96755e-05	4.08312
matvec(CRS)	double	2000	2000	5.89168e-05	5.49928
matvec(CRS)	double	4000	4000	0.000103708	6.24831
matvec(CRS)	double	8000	8000	0.000185218	6.99717
matvec(CRS)	double	16000	16000	0.000350109	7.40341
matvec(CRS)	double	32000	32000	0.000668927	7.74973
matvec(CRS)	double	64000	64000	0.00130995	7.9148
