func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.000520625	0.155582
m_tanh(CRS)	float	2000	2000	0.000526847	0.30749
m_tanh(CRS)	float	4000	4000	0.000984535	0.329089
m_tanh(CRS)	float	8000	8000	0.00188921	0.343
m_tanh(CRS)	float	16000	16000	0.00371175	0.349162
m_tanh(CRS)	float	32000	32000	0.00730054	0.355042
m_tanh(CRS)	float	64000	64000	0.0147138	0.352321
m_tanh(CRS)	double	1000	1000	0.000443271	0.182732
m_tanh(CRS)	double	2000	2000	0.000786069	0.206089
m_tanh(CRS)	double	4000	4000	0.00150756	0.214917
m_tanh(CRS)	double	8000	8000	0.00296239	0.218742
m_tanh(CRS)	double	16000	16000	0.00581622	0.222825
m_tanh(CRS)	double	32000	32000	0.0116	0.223449
m_tanh(CRS)	double	64000	64000	0.0226427	0.228948
