func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.76289e-05	17.3524	208.229
matadd(Dense,Dense,Dense)	float	2000	2000	0.00222222	1.8	21.6
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107415	0.837874	10.0545
matadd(Dense,Dense,Dense)	float	4000	4000	0.0203561	0.786006	9.43208
matadd(Dense,Dense,Dense)	float	5000	5000	0.0325953	0.766982	9.20378
matadd(Dense,Dense,Dense)	double	1000	1000	0.000105406	9.48716	227.692
matadd(Dense,Dense,Dense)	double	2000	2000	0.00932995	0.428727	10.2894
matadd(Dense,Dense,Dense)	double	3000	3000	0.0165714	0.543105	13.0345
matadd(Dense,Dense,Dense)	double	4000	4000	0.0419236	0.381646	9.15951
matadd(Dense,Dense,Dense)	double	5000	5000	0.0640112	0.390556	9.37336
