func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179659	111.322
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00492796	1369.74
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.00987	1621.07
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.016688	1872.61
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0254055	2125.52
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.041203	2081.16
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0611033	2094.81
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0880032	2070.95
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.122195	2045.91
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0277634	72.0372
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0878746	76.814
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208108	76.8831
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.405057	77.1496
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.680215	79.3867
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.08538	79.0044
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.61929	79.0468
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31129	78.8521
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.17477	78.7459
