func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.00175075	0.092532
mv_mul(CRS)	float	2000	2000	4.32877e-05	7.48481
mv_mul(CRS)	float	4000	4000	7.91327e-05	8.18878
mv_mul(CRS)	float	8000	8000	0.000161031	8.04811
mv_mul(CRS)	float	16000	16000	0.000344407	7.52599
mv_mul(CRS)	float	32000	32000	0.00127771	4.05726
mv_mul(CRS)	float	64000	64000	0.00788058	1.31564
mv_mul(CRS)	double	1000	1000	3.32218e-05	4.87632
mv_mul(CRS)	double	2000	2000	4.92041e-05	6.58482
mv_mul(CRS)	double	4000	4000	9.07492e-05	7.14056
mv_mul(CRS)	double	8000	8000	0.000183213	7.07375
mv_mul(CRS)	double	16000	16000	0.000389581	6.6533
mv_mul(CRS)	double	32000	32000	0.00344121	1.50645
mv_mul(CRS)	double	64000	64000	0.00933114	1.11112
