func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00107101	0.151259	0.907552
matadd(CRS,CRS,CRS)	float	2000	2000	4.29314e-05	7.54692	45.2815
matadd(CRS,CRS,CRS)	float	4000	4000	7.72475e-05	8.38862	50.3317
matadd(CRS,CRS,CRS)	float	8000	8000	0.000159101	8.14578	48.8747
matadd(CRS,CRS,CRS)	float	16000	16000	0.000299679	8.64926	51.8956
matadd(CRS,CRS,CRS)	float	32000	32000	0.0036599	1.41643	8.49859
matadd(CRS,CRS,CRS)	float	64000	64000	0.0099257	1.04456	6.26737
matadd(CRS,CRS,CRS)	double	1000	1000	4.0181e-05	4.03176	48.3811
matadd(CRS,CRS,CRS)	double	2000	2000	7.28214e-05	4.44924	53.3909
matadd(CRS,CRS,CRS)	double	4000	4000	0.000146407	4.42603	53.1124
matadd(CRS,CRS,CRS)	double	8000	8000	0.000306451	4.22906	50.7487
matadd(CRS,CRS,CRS)	double	16000	16000	0.0029273	0.885457	10.6255
matadd(CRS,CRS,CRS)	double	32000	32000	0.00980613	0.528649	6.34379
matadd(CRS,CRS,CRS)	double	64000	64000	0.021609	0.479799	5.75759
