func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00665338	300.599
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.013179	512.178
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0309213	517.442
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0605514	516.091
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.104461	516.939
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.162019	529.259
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.243733	525.166
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.333364	546.7
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.456625	547.495
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00964659	207.327
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0287968	234.401
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0643106	248.793
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.117172	266.702
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.198731	271.724
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.308863	277.631
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.458063	279.437
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.661335	275.579
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.911866	274.163
