func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0172178	0.116159
mv_mul(Dense)	float	2000	2000	0.00159589	5.01287
mv_mul(Dense)	float	3000	3000	0.00181186	9.93456
mv_mul(Dense)	float	4000	4000	0.00232785	13.7466
mv_mul(Dense)	float	5000	5000	0.00236536	21.1385
mv_mul(Dense)	double	1000	1000	0.00167644	1.19301
mv_mul(Dense)	double	2000	2000	0.00162433	4.9251
mv_mul(Dense)	double	3000	3000	0.001983	9.07715
mv_mul(Dense)	double	4000	4000	0.00252125	12.6921
mv_mul(Dense)	double	5000	5000	0.0032963	15.1685
