func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00426511	0.23446	2.81352
matadd(Dense,Dense,Dense)	float	2000	2000	0.0139238	0.287277	3.44732
matadd(Dense,Dense,Dense)	float	3000	3000	0.0243042	0.370307	4.44368
matadd(Dense,Dense,Dense)	float	4000	4000	0.0436896	0.36622	4.39464
matadd(Dense,Dense,Dense)	float	5000	5000	0.0677813	0.368833	4.426
matadd(Dense,Dense,Dense)	double	1000	1000	0.00416395	0.240157	5.76376
matadd(Dense,Dense,Dense)	double	2000	2000	0.0141446	0.282793	6.78703
matadd(Dense,Dense,Dense)	double	3000	3000	0.0263767	0.34121	8.18903
matadd(Dense,Dense,Dense)	double	4000	4000	0.0555359	0.288102	6.91445
matadd(Dense,Dense,Dense)	double	5000	5000	0.0864393	0.28922	6.94129
