func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00180178	1.11001	
mv_mul(Dense)	float	2000	2000	6.62842e-05	120.692	
mv_mul(Dense)	float	3000	3000	0.00017584	102.366	
mv_mul(Dense)	float	4000	4000	0.00505036	6.33618	
mv_mul(Dense)	float	5000	5000	0.00954968	5.23578	
mv_mul(Dense)	float	6000	6000	0.0145946	4.93333	
mv_mul(Dense)	float	7000	7000	0.0203768	4.80939	
mv_mul(Dense)	float	8000	8000	0.0265499	4.8211	
mv_mul(Dense)	float	9000	9000	0.0193117	8.38868	
mv_mul(Dense)	float	10000	10000	0.043033	4.6476	
mv_mul(Dense)	double	1000	1000	0.000149608	13.3683	
mv_mul(Dense)	double	2000	2000	0.000139441	57.3719	
mv_mul(Dense)	double	3000	3000	0.00592488	3.03803	
mv_mul(Dense)	double	4000	4000	0.0124229	2.5759	
mv_mul(Dense)	double	5000	5000	0.0190137	2.62968	
mv_mul(Dense)	double	6000	6000	0.0298753	2.41002	
mv_mul(Dense)	double	7000	7000	0.0423105	2.31621	
mv_mul(Dense)	double	8000	8000	0.0538822	2.37555	
mv_mul(Dense)	double	9000	9000	0.0443591	3.65201	
mv_mul(Dense)	double	10000	10000	0.0617474	3.239	
