func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	float	1000	1.7109e-05	0.116898	0.46759	
sv_div	float	10000	2.74155e-05	0.729514	2.91806	
sv_div	float	100000	0.000126084	1.58624	6.34496	
sv_div	float	1000000	0.00090362	2.21332	8.85328	
sv_div	float	10000000	0.0263264	0.759695	3.03878	
sv_div	float	100000000	0.239338	0.835637	3.34255	
sv_div	double	1000	0.00745671	0.000268215	0.00214572	
sv_div	double	10000	3.74128e-05	0.534576	4.27661	
sv_div	double	100000	0.000169554	1.17957	9.43654	
sv_div	double	1000000	0.00182496	1.09592	8.76734	
sv_div	double	10000000	0.0552225	0.362171	2.89737	
sv_div	double	100000000	0.47178	0.423927	3.39141	
