func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00306507	
transpose(Dense)	float	2000	2000	0.0156521	
transpose(Dense)	float	3000	3000	0.0498321	
transpose(Dense)	float	4000	4000	0.0986035	
transpose(Dense)	float	5000	5000	0.154369	
transpose(Dense)	float	6000	6000	0.236368	
transpose(Dense)	float	7000	7000	0.318539	
transpose(Dense)	float	8000	8000	0.403553	
transpose(Dense)	float	9000	9000	0.527885	
transpose(Dense)	float	10000	10000	0.614691	
transpose(Dense)	double	1000	1000	0.00371935	
transpose(Dense)	double	2000	2000	0.029401	
transpose(Dense)	double	3000	3000	0.0743489	
transpose(Dense)	double	4000	4000	0.153498	
transpose(Dense)	double	5000	5000	0.229962	
transpose(Dense)	double	6000	6000	0.358791	
transpose(Dense)	double	7000	7000	0.454115	
transpose(Dense)	double	8000	8000	0.621496	
transpose(Dense)	double	9000	9000	0.757158	
transpose(Dense)	double	10000	10000	0.930936	
