func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0174421	0.114665	
mv_mul(Dense)	float	2000	2000	0.0015845	5.04892	
mv_mul(Dense)	float	3000	3000	0.00180811	9.95517	
mv_mul(Dense)	float	4000	4000	0.00234572	13.6419	
mv_mul(Dense)	float	5000	5000	0.00237276	21.0725	
mv_mul(Dense)	float	6000	6000	0.00273939	26.2833	
mv_mul(Dense)	float	7000	7000	0.00320659	30.5621	
mv_mul(Dense)	float	8000	8000	0.00390269	32.7979	
mv_mul(Dense)	float	9000	9000	0.0046733	34.665	
mv_mul(Dense)	float	10000	10000	0.00526414	37.9929	
mv_mul(Dense)	double	1000	1000	0.00126433	1.58186	
mv_mul(Dense)	double	2000	2000	0.00154174	5.18895	
mv_mul(Dense)	double	3000	3000	0.00192216	9.36447	
mv_mul(Dense)	double	4000	4000	0.00251751	12.711	
mv_mul(Dense)	double	5000	5000	0.00331625	15.0773	
mv_mul(Dense)	double	6000	6000	0.00419848	17.1491	
mv_mul(Dense)	double	7000	7000	0.00516178	18.9857	
mv_mul(Dense)	double	8000	8000	0.00646436	19.8009	
mv_mul(Dense)	double	9000	9000	0.00797723	20.3078	
