func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0162379	0.123169	
matvec(Dense)	float	2000	2000	0.000685955	11.6626	
matvec(Dense)	float	3000	3000	0.000892365	20.1711	
matvec(Dense)	float	4000	4000	0.00120829	26.4838	
matvec(Dense)	float	5000	5000	0.00153349	32.6053	
matvec(Dense)	float	6000	6000	0.00195987	36.737	
matvec(Dense)	float	7000	7000	0.00248214	39.4821	
matvec(Dense)	float	8000	8000	0.003172	40.353	
matvec(Dense)	float	9000	9000	0.00378475	42.8034	
matvec(Dense)	float	10000	10000	0.00453408	44.1104	
matvec(Dense)	double	1000	1000	0.000546931	3.65677	
matvec(Dense)	double	2000	2000	0.000805506	9.93165	
matvec(Dense)	double	3000	3000	0.00120867	14.8924	
matvec(Dense)	double	4000	4000	0.00182165	17.5665	
matvec(Dense)	double	5000	5000	0.00248919	20.0869	
matvec(Dense)	double	6000	6000	0.00344813	20.8809	
matvec(Dense)	double	7000	7000	0.00442519	22.146	
matvec(Dense)	double	8000	8000	0.00566292	22.6032	
matvec(Dense)	double	9000	9000	0.00708531	22.8642	
