func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	8.2976e-06	0.241034	1.4462	
axpyz	float	10000	7.5282e-06	2.65668	15.9401	
axpyz	float	100000	9.4392e-06	21.1882	127.129	
axpyz	float	1000000	4.19632e-05	47.6608	285.965	
axpyz	float	10000000	0.00308136	6.49064	38.9438	
axpyz	float	100000000	0.0344806	5.80037	34.8022	
axpyz	double	1000	7.699e-06	0.259774	3.11729	
axpyz	double	10000	8.2295e-06	2.43028	29.1634	
axpyz	double	100000	1.21702e-05	16.4336	197.203	
axpyz	double	1000000	7.61115e-05	26.2772	315.327	
axpyz	double	10000000	0.0225686	0.886187	10.6342	
axpyz	double	100000000	0.127463	1.56908	18.829	
