func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(CRS)	float	1000	1000	6.45814e-05	2.50846	
mv_mul(CRS)	float	10000	10000	0.000196544	8.24243	
mv_mul(CRS)	float	100000	100000	0.00970223	1.66972	
mv_mul(CRS)	float	1000000	1000000	0.107591	1.50571	
mv_mul(CRS)	double	1000	1000	2.9203e-05	5.54738	
mv_mul(CRS)	double	10000	10000	0.000237088	6.83289	
mv_mul(CRS)	double	100000	100000	0.0154153	1.05091	
mv_mul(CRS)	double	1000000	1000000	0.146982	1.10217	
