func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.43384e-05	18.4032	220.838	
matadd(Dense,Dense,Dense)	float	2000	2000	0.0018357	2.179	26.1481	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00849215	1.0598	12.7176	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0159083	1.00577	12.0692	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0330947	0.755407	9.06489	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0380213	0.946838	11.3621	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0640359	0.765196	9.18235	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0515833	1.24071	14.8885	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0846552	0.956823	11.4819	
matadd(Dense,Dense,Dense)	float	10000	10000	0.104697	0.955139	11.4617	
matadd(Dense,Dense,Dense)	double	1000	1000	0.00383136	0.261004	6.2641	
matadd(Dense,Dense,Dense)	double	2000	2000	0.0093452	0.428027	10.2727	
matadd(Dense,Dense,Dense)	double	3000	3000	0.02085	0.431656	10.3597	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0425423	0.376097	9.02632	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0536596	0.4659	11.1816	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0656602	0.548277	13.1586	
matadd(Dense,Dense,Dense)	double	7000	7000	0.109792	0.446298	10.7111	
matadd(Dense,Dense,Dense)	double	8000	8000	0.0805174	0.79486	19.0766	
matadd(Dense,Dense,Dense)	double	9000	9000	0.126988	0.637855	15.3085	
matadd(Dense,Dense,Dense)	double	10000	10000	0.121389	0.823796	19.7711	
