func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00186583	1.07191	
matvec(Dense)	float	2000	2000	6.38874e-05	125.22	
matvec(Dense)	float	3000	3000	0.000175159	102.764	
matvec(Dense)	float	4000	4000	0.00500341	6.39563	
matvec(Dense)	float	5000	5000	0.00956462	5.2276	
matvec(Dense)	float	6000	6000	0.0147188	4.89169	
matvec(Dense)	float	7000	7000	0.020426	4.79781	
matvec(Dense)	float	8000	8000	0.026223	4.88122	
matvec(Dense)	float	9000	9000	0.0200812	8.06726	
matvec(Dense)	float	10000	10000	0.0440115	4.54427	
matvec(Dense)	double	1000	1000	0.000146879	13.6167	
matvec(Dense)	double	2000	2000	0.000140015	57.1365	
matvec(Dense)	double	3000	3000	0.005993	3.00351	
matvec(Dense)	double	4000	4000	0.0128163	2.49682	
matvec(Dense)	double	5000	5000	0.0206	2.42719	
matvec(Dense)	double	6000	6000	0.0305353	2.35792	
matvec(Dense)	double	7000	7000	0.0415674	2.35762	
matvec(Dense)	double	8000	8000	0.0490085	2.61179	
matvec(Dense)	double	9000	9000	0.0519627	3.11762	
matvec(Dense)	double	10000	10000	0.0532551	3.75551	
