func	prec	M	N	K	time[sec]	perf[GFLOPS] 
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00581697	343.822	
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0299881	533.544	
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.101126	533.99	
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.235441	543.661	
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.451089	554.214	
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00974168	205.303	
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0646511	247.482	
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.196431	274.905	
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.45474	281.479	
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.869143	287.64	
