func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000936677	0.0010676	0.00427041	
sum	float	10000	0.000949891	0.0105275	0.0421101	
sum	float	100000	0.00103108	0.0969861	0.387944	
sum	float	1000000	0.00193241	0.517489	2.06995	
sum	float	10000000	0.0109845	0.910371	3.64148	
sum	float	100000000	0.0828019	1.2077	4.83081	
sum	double	1000	0.000725332	0.00137868	0.0110294	
sum	double	10000	0.000738634	0.0135385	0.108308	
sum	double	100000	0.00085183	0.117394	0.939154	
sum	double	1000000	0.00197871	0.50538	4.04304	
sum	double	10000000	0.0131462	0.760678	6.08543	
sum	double	100000000	0.12557	0.796367	6.37093	
