func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00224547	0.445341	
m_tanh(Dense)	float	2000	2000	0.00109562	3.65089	
m_tanh(Dense)	float	3000	3000	0.00249881	3.60171	
m_tanh(Dense)	float	4000	4000	0.00499282	3.2046	
m_tanh(Dense)	float	5000	5000	0.00892726	2.80041	
m_tanh(Dense)	float	6000	6000	0.0127426	2.82518	
m_tanh(Dense)	float	7000	7000	0.0179162	2.73495	
m_tanh(Dense)	float	8000	8000	0.0232902	2.74794	
m_tanh(Dense)	float	9000	9000	0.0310028	2.61267	
m_tanh(Dense)	float	10000	10000	0.039419	2.53685	
m_tanh(Dense)	double	1000	1000	0.000781729	1.27922	
m_tanh(Dense)	double	2000	2000	0.00311139	1.2856	
m_tanh(Dense)	double	3000	3000	0.00726715	1.23845	
m_tanh(Dense)	double	4000	4000	0.0130172	1.22914	
m_tanh(Dense)	double	5000	5000	0.0203865	1.2263	
m_tanh(Dense)	double	6000	6000	0.0295066	1.22006	
m_tanh(Dense)	double	7000	7000	0.0448341	1.09292	
m_tanh(Dense)	double	8000	8000	0.0545912	1.17235	
m_tanh(Dense)	double	9000	9000	0.0705119	1.14874	
m_tanh(Dense)	double	10000	10000	0.0862082	1.15998	
