func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00297253	
convert(COO,Dense)	float	2000	2000	0.0057535	
convert(COO,Dense)	float	3000	3000	0.016321	
convert(COO,Dense)	float	4000	4000	0.0280221	
convert(COO,Dense)	float	5000	5000	0.0439811	
convert(COO,Dense)	float	6000	6000	0.0613579	
convert(COO,Dense)	float	7000	7000	0.0806566	
convert(COO,Dense)	float	8000	8000	0.10458	
convert(COO,Dense)	float	9000	9000	0.13025	
convert(COO,Dense)	float	10000	10000	0.159979	
convert(COO,Dense)	double	1000	1000	0.00298781	
convert(COO,Dense)	double	2000	2000	0.0092175	
convert(COO,Dense)	double	3000	3000	0.0295443	
convert(COO,Dense)	double	4000	4000	0.0521948	
convert(COO,Dense)	double	5000	5000	0.0798828	
convert(COO,Dense)	double	6000	6000	0.11386	
convert(COO,Dense)	double	7000	7000	0.152473	
convert(COO,Dense)	double	8000	8000	0.197678	
convert(COO,Dense)	double	9000	9000	0.248962	
convert(COO,Dense)	double	10000	10000	0.304922	
