func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00271469	59.6754
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00603688	60.3789
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0108228	59.8734
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0210849	48.0202
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0301341	48.3838
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.014982	10.813
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.032922	11.0716
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0554428	11.6877
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0863247	11.729
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.128195	11.3733
