func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00388344	515.008
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00447194	1509.41
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00845947	1891.37
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155186	2013.71
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0260682	2071.49
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.041755	2053.65
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0617755	2072.02
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0891349	2044.65
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122081	2047.83
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0280493	71.303
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0889856	75.8549
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.209968	76.2021
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.40603	76.9648
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.682821	79.0836
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.09254	78.4869
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.62539	78.7505
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.3197	78.5663
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.18772	78.4259
