func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0362198	4.47269
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.051767	7.04116
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102811	6.30281
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134435	7.53152
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169253	8.61434
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0360972	4.48789
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0589679	6.18133
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0842263	7.69356
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.11346	8.92384
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144491	10.0906
