func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0172872	0.115693
mv_mul(Dense)	float	2000	2000	0.00158879	5.03529
mv_mul(Dense)	float	3000	3000	0.00180502	9.97217
mv_mul(Dense)	float	4000	4000	0.0020489	15.6181
mv_mul(Dense)	float	5000	5000	0.00235576	21.2245
mv_mul(Dense)	float	6000	6000	0.00272126	26.4583
mv_mul(Dense)	float	7000	7000	0.00320801	30.5485
mv_mul(Dense)	float	8000	8000	0.00390548	32.7745
mv_mul(Dense)	float	9000	9000	0.00461443	35.1073
mv_mul(Dense)	float	10000	10000	0.00527362	37.9246
mv_mul(Dense)	double	1000	1000	0.00125634	1.59193
mv_mul(Dense)	double	2000	2000	0.00151955	5.26472
mv_mul(Dense)	double	3000	3000	0.00191418	9.40352
mv_mul(Dense)	double	4000	4000	0.00251911	12.7029
mv_mul(Dense)	double	5000	5000	0.00330196	15.1425
mv_mul(Dense)	double	6000	6000	0.00417792	17.2334
mv_mul(Dense)	double	7000	7000	0.00515736	19.002
mv_mul(Dense)	double	8000	8000	0.00647259	19.7757
mv_mul(Dense)	double	9000	9000	0.00798471	20.2888
