func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.00174979	1.14299
mv_mul(Dense)	float	2000	2000	6.69232e-05	119.54
mv_mul(Dense)	float	3000	3000	0.000161477	111.471
mv_mul(Dense)	float	4000	4000	0.00503236	6.35884
mv_mul(Dense)	float	5000	5000	0.00940414	5.31681
mv_mul(Dense)	float	6000	6000	0.0143459	5.01886
mv_mul(Dense)	float	7000	7000	0.0198477	4.93761
mv_mul(Dense)	float	8000	8000	0.0264331	4.84241
mv_mul(Dense)	float	9000	9000	0.0190745	8.493
mv_mul(Dense)	float	10000	10000	0.0426329	4.69121
mv_mul(Dense)	double	1000	1000	0.00015705	12.7348
mv_mul(Dense)	double	2000	2000	0.000144694	55.2892
mv_mul(Dense)	double	3000	3000	0.00592939	3.03572
mv_mul(Dense)	double	4000	4000	0.0124681	2.56654
mv_mul(Dense)	double	5000	5000	0.0202396	2.4704
mv_mul(Dense)	double	6000	6000	0.0288732	2.49366
mv_mul(Dense)	double	7000	7000	0.0343515	2.85286
mv_mul(Dense)	double	8000	8000	0.0526427	2.43148
mv_mul(Dense)	double	9000	9000	0.0528373	3.06602
mv_mul(Dense)	double	10000	10000	0.0731977	2.73233
