func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00427051	0.234164	2.80997
matadd(Dense,Dense,Dense)	float	2000	2000	0.0140671	0.284351	3.41222
matadd(Dense,Dense,Dense)	float	3000	3000	0.024334	0.369852	4.43823
matadd(Dense,Dense,Dense)	float	4000	4000	0.0436923	0.366197	4.39437
matadd(Dense,Dense,Dense)	float	5000	5000	0.0678265	0.368587	4.42305
matadd(Dense,Dense,Dense)	float	6000	6000	0.0903304	0.398537	4.78244
matadd(Dense,Dense,Dense)	float	7000	7000	0.130229	0.376261	4.51513
matadd(Dense,Dense,Dense)	float	8000	8000	0.169673	0.377197	4.52637
matadd(Dense,Dense,Dense)	float	9000	9000	0.2022	0.400594	4.80712
