func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00333602
convert(COO,Dense)	float	2000	2000	0.00577761
convert(COO,Dense)	float	3000	3000	0.0154962
convert(COO,Dense)	float	4000	4000	0.0286454
convert(COO,Dense)	float	5000	5000	0.0434116
convert(COO,Dense)	float	6000	6000	0.0604873
convert(COO,Dense)	float	7000	7000	0.0812036
convert(COO,Dense)	float	8000	8000	0.10311
convert(COO,Dense)	float	9000	9000	0.129873
convert(COO,Dense)	float	10000	10000	0.159862
convert(COO,Dense)	double	1000	1000	0.0028387
convert(COO,Dense)	double	2000	2000	0.00921356
convert(COO,Dense)	double	3000	3000	0.0301423
convert(COO,Dense)	double	4000	4000	0.0518062
convert(COO,Dense)	double	5000	5000	0.0801798
convert(COO,Dense)	double	6000	6000	0.113749
convert(COO,Dense)	double	7000	7000	0.152206
convert(COO,Dense)	double	8000	8000	0.196167
convert(COO,Dense)	double	9000	9000	0.246679
convert(COO,Dense)	double	10000	10000	0.303106
