func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.0020701	0.483069
m_tanh(Dense)	float	2000	2000	0.00109997	3.63648
m_tanh(Dense)	float	3000	3000	0.00249566	3.60626
m_tanh(Dense)	float	4000	4000	0.00486151	3.29116
m_tanh(Dense)	float	5000	5000	0.00880559	2.83911
m_tanh(Dense)	float	6000	6000	0.0126644	2.84262
m_tanh(Dense)	float	7000	7000	0.0175599	2.79044
m_tanh(Dense)	float	8000	8000	0.023347	2.74125
m_tanh(Dense)	float	9000	9000	0.0301581	2.68584
m_tanh(Dense)	float	10000	10000	0.0380366	2.62905
m_tanh(Dense)	double	1000	1000	0.000729647	1.37053
m_tanh(Dense)	double	2000	2000	0.00291048	1.37434
m_tanh(Dense)	double	3000	3000	0.00696215	1.2927
m_tanh(Dense)	double	4000	4000	0.0124224	1.288
m_tanh(Dense)	double	5000	5000	0.0196088	1.27494
m_tanh(Dense)	double	6000	6000	0.0279988	1.28577
m_tanh(Dense)	double	7000	7000	0.0385409	1.27138
m_tanh(Dense)	double	8000	8000	0.0511127	1.25214
m_tanh(Dense)	double	9000	9000	0.0632004	1.28164
m_tanh(Dense)	double	10000	10000	0.0817384	1.22342
