func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.65577e-05	17.6811	212.173
matadd(Dense,Dense,Dense)	float	2000	2000	0.00191318	2.09076	25.0891
matadd(Dense,Dense,Dense)	float	3000	3000	0.00850772	1.05786	12.6943
matadd(Dense,Dense,Dense)	float	4000	4000	0.0161786	0.988962	11.8675
matadd(Dense,Dense,Dense)	float	5000	5000	0.0261375	0.956479	11.4778
matadd(Dense,Dense,Dense)	float	6000	6000	0.0377096	0.954663	11.456
matadd(Dense,Dense,Dense)	float	7000	7000	0.0521557	0.939495	11.2739
matadd(Dense,Dense,Dense)	float	8000	8000	0.0544808	1.17473	14.0967
matadd(Dense,Dense,Dense)	float	9000	9000	0.0707869	1.14428	13.7313
matadd(Dense,Dense,Dense)	float	10000	10000	0.0838853	1.1921	14.3052
matadd(Dense,Dense,Dense)	double	1000	1000	0.000100754	9.92514	238.203
matadd(Dense,Dense,Dense)	double	2000	2000	0.00731465	0.546848	13.1243
matadd(Dense,Dense,Dense)	double	3000	3000	0.0182145	0.494112	11.8587
matadd(Dense,Dense,Dense)	double	4000	4000	0.0329878	0.485028	11.6407
matadd(Dense,Dense,Dense)	double	5000	5000	0.0486997	0.51335	12.3204
matadd(Dense,Dense,Dense)	double	6000	6000	0.0630115	0.571324	13.7118
matadd(Dense,Dense,Dense)	double	7000	7000	0.0820669	0.597074	14.3298
matadd(Dense,Dense,Dense)	double	8000	8000	0.0920087	0.695587	16.6941
matadd(Dense,Dense,Dense)	double	9000	9000	0.102531	0.790009	18.9602
matadd(Dense,Dense,Dense)	double	10000	10000	0.104113	0.960499	23.052
