func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.000650871	1.5364	12.2912
mscal(Dense)	float	2000	2000	9.98143e-05	40.0744	320.595
mscal(Dense)	float	3000	3000	0.000243866	36.9055	295.244
mscal(Dense)	float	4000	4000	0.00599652	2.66822	21.3457
mscal(Dense)	float	5000	5000	0.0119107	2.09895	16.7916
mscal(Dense)	float	6000	6000	0.0177711	2.02577	16.2061
mscal(Dense)	float	7000	7000	0.0244513	2.00398	16.0319
mscal(Dense)	float	8000	8000	0.0315833	2.02639	16.2111
mscal(Dense)	float	9000	9000	0.0410759	1.97196	15.7757
mscal(Dense)	float	10000	10000	0.0510345	1.95946	15.6757
mscal(Dense)	double	1000	1000	5.00918e-05	19.9633	319.414
mscal(Dense)	double	2000	2000	0.000189281	21.1326	338.122
mscal(Dense)	double	3000	3000	0.00737945	1.2196	19.5136
mscal(Dense)	double	4000	4000	0.0156105	1.02495	16.3992
mscal(Dense)	double	5000	5000	0.0248219	1.00717	16.1148
mscal(Dense)	double	6000	6000	0.0339889	1.05917	16.9467
mscal(Dense)	double	7000	7000	0.0502229	0.975651	15.6104
mscal(Dense)	double	8000	8000	0.0599276	1.06796	17.0873
mscal(Dense)	double	9000	9000	0.0797822	1.01526	16.2442
mscal(Dense)	double	10000	10000	0.0991615	1.00846	16.1353
